JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPay&Benefits,Year,Agency
POLICE SERGEANT,69391.53,1696.33,116989.58,47820.38,188077.44,235897.82,2014,Boulder City
CITY MANAGER,133241.07,0,25706.26,51770.05,158947.33,210717.38,2014,Boulder City
DIRECTOR PUBLIC WORK,122705.24,0,32056.03,38664.44,154761.27,193425.71,2014,Boulder City
CITY ATTORNEY,114430.94,0,29061.87,48372.82,143492.81,191865.63,2014,Boulder City
DIRECTOR PARKS REC,107524.94,0,36533.32,46487.98,144058.26,190546.24,2014,Boulder City
FIRE CHIEF,123617.04,0,16328.87,48536.5,139945.91,188482.41,2014,Boulder City
DIRECTOR FINANCE,124192.7,0,13605.57,48523.29,137798.27,186321.56,2014,Boulder City
POLICE SERGEANT,86313.91,18328.5,30092.2,49799.47,134734.61,184534.08,2014,Boulder City
POLICE SERGEANT,95154.23,5298.88,31123.52,51141.73,131576.63,182718.36,2014,Boulder City
DIR OF COMMUNITY DEV,106910.97,0,24657.51,45300.36,131568.48,176868.84,2014,Boulder City
POLICE TRAFFIC OFF,74962.38,20098.45,31703.06,49668.86,126763.89,176432.75,2014,Boulder City
CITY CLERK,109467.28,0,17901.22,45239.4,127368.5,172607.9,2014,Boulder City
FIRE  CAPTAIN,77684.49,27171.75,12646.78,52898.59,117503.02,170401.61,2014,Boulder City
POLICE DETECTIVE OFF,78857.41,19135.59,26964.24,43827.45,124957.24,168784.69,2014,Boulder City
FIRE  CAPTAIN,77750.29,19083.01,17927.17,53614.06,114760.47,168374.53,2014,Boulder City
FIRE  CAPTAIN,79758.43,17853.22,16404.63,53877.12,114016.28,167893.4,2014,Boulder City
ADMIN ELECTRIC UTLY,115147.1,0,6716.45,44390.13,121863.55,166253.68,2014,Boulder City
POLICE SERGEANT,71479.22,5772.79,41563.25,45494.47,118815.26,164309.73,2014,Boulder City
DIV CHIEF OPERATIONS,89302.7,0,19828.05,54572.47,109130.75,163703.22,2014,Boulder City
POLICE DET/SERGEANT,77746.41,8229.82,31108.31,44917.05,117084.54,162001.59,2014,Boulder City
POLICE TRAFFIC OFF,73318.43,11185.47,33872.6,43185.79,118376.5,161562.29,2014,Boulder City
SUPER ELECTRIC DIST,80648.94,10741.72,28357.95,40474.93,119748.61,160223.54,2014,Boulder City
FIRE ENGINEER,73156.81,20475.45,14479.84,52016.39,108112.1,160128.49,2014,Boulder City
POLICE OFFICER,78704,9905.6,26734.75,43805.99,115344.35,159150.34,2014,Boulder City
FIRE ENGINEER,73674.48,20741.89,13958.14,50621.66,108374.51,158996.17,2014,Boulder City
FIRE ENGINEER,72081.43,16863.12,17550.17,51255.16,106494.72,157749.88,2014,Boulder City
POLICE DETECTIVE OFF,70721.39,10407.64,32462.44,43912.88,113591.47,157504.35,2014,Boulder City
CITY ENGINEER,93427.88,0,30559.16,30735.01,123987.04,154722.05,2014,Boulder City
POLICE SCHOOL OFF,74395.76,8443.38,29380.63,42273.34,112219.77,154493.11,2014,Boulder City
POLICE TRAFFIC OFF,76268.56,3888.33,31199.24,43047.51,111356.13,154403.64,2014,Boulder City
POLICE TRAFFIC/K-9,75335.26,1260.35,34102.57,43668.68,110698.18,154366.86,2014,Boulder City
ELECTRIC LINEWRKR SR,81768.87,15447.05,18897.75,37722.88,116113.67,153836.55,2014,Boulder City
CRIME SCENE DETECTIV,74877.91,3317.89,30372.14,43829.8,108567.94,152397.74,2014,Boulder City
FIREFIGHTER PARAMEDI,69237.32,11875.2,18498.3,52225.8,99610.82,151836.62,2014,Boulder City
FIREFIGHTER PARAMEDI,64045.95,13228.77,23568.35,50451.26,100843.07,151294.33,2014,Boulder City
POLICE ADMIN OFFICER,75199.46,3887.14,28237.4,42483.02,107324,149807.02,2014,Boulder City
FIREFIGHTER PARAMEDI,69732.73,5305.09,21514.36,51751.44,96552.18,148303.62,2014,Boulder City
POLICE OFFICER,69274.72,7412.34,28879.51,39947.51,105566.57,145514.08,2014,Boulder City
POLICE OFFICER,73210.43,6065.86,25125.5,40917.98,104401.79,145319.77,2014,Boulder City
SUPER PUBLIC WORKS,85661.71,0,29106.73,29913.89,114768.44,144682.33,2014,Boulder City
POLICE OFFICER,70593.41,3623.92,29781.97,40508.69,103999.3,144507.99,2014,Boulder City
FIREFIGHTER PARAMEDI,66793.51,13526.09,13672.91,47702.67,93992.51,141695.18,2014,Boulder City
FIREFIGHTER PARAMEDI,68192.74,13604.15,12139.07,47647.44,93935.96,141583.4,2014,Boulder City
POLICE OFFICER,73599.37,3791.65,23978.27,39828.49,101369.29,141197.78,2014,Boulder City
POLICE OFFICER,70069.52,4934.47,27125.48,38900.78,102129.47,141030.25,2014,Boulder City
POLICE OFFICER,69618.82,3141.99,28159.89,40061.72,100920.7,140982.42,2014,Boulder City
POLICE OFFICER,67094.14,2906.82,30672.4,39834.28,100673.36,140507.64,2014,Boulder City
FIREFIGHTER PARAMEDI,65209.31,20405.47,9373.98,45508.66,94988.76,140497.42,2014,Boulder City
CHIEF ACCOUNTANT,88206.13,0,13482.34,38604.25,101688.47,140292.72,2014,Boulder City
ADMIN PERSONNEL,88593.03,0,13095.4,38604.24,101688.43,140292.67,2014,Boulder City
COURT ADMINISTRATOR,84056.13,0,17632.29,38604.24,101688.42,140292.66,2014,Boulder City
BUILDING OFFICIAL,76793.21,0,24895.2,38604.24,101688.41,140292.65,2014,Boulder City
CITY PLANNER,84815.41,0,16751.71,38524.21,101567.12,140091.33,2014,Boulder City
POLICE OFFICER,67424.69,3791.32,29079.39,39668.47,100295.4,139963.87,2014,Boulder City
ELECTRIC LINEWORKER,73259.41,8408.96,21286.27,36466.41,102954.64,139421.05,2014,Boulder City
MANAGER AIRPORT,91330.05,0,8439.74,38529.38,99769.79,138299.17,2014,Boulder City
POLICE OFFICER,63194.47,4148.59,31409.3,39287.75,98752.36,138040.11,2014,Boulder City
POLICE OFFICER,68658.89,355.76,28772.03,40243.03,97786.68,138029.71,2014,Boulder City
SUPER WATER SEWER,81880.44,1257.97,15417.76,37374.17,98556.17,135930.34,2014,Boulder City
FIREFIGHTER PARAMEDI,66428.9,8712.47,13154.42,47278.81,88295.79,135574.6,2014,Boulder City
POLICE OFFICER,59938.2,0,34888.99,39146.15,94827.19,133973.34,2014,Boulder City
ELECTRIC LINEWORKER,74223.7,4658.94,19015.32,35919.24,97897.96,133817.2,2014,Boulder City
POLICE OFFICER,67180.84,250.4,27334.76,38812.82,94766,133578.82,2014,Boulder City
ELECTRIC LINEWORKER,68789.2,1322.99,25966.48,36408.08,96078.67,132486.75,2014,Boulder City
TECH ELECTRIC MAINT,65236.29,2627.06,27149.73,35815.12,95013.08,130828.2,2014,Boulder City
POLICE OFFICER,56296.5,12005.43,27207.21,34294.76,95509.14,129803.9,2014,Boulder City
TECH SUBSTATION MAIN,59917.69,883.27,31620.37,35551.29,92421.33,127972.62,2014,Boulder City
