Kings,55475,1.8426e+05,21853
Merced,55722,3.3181e+05,21889
Sierra,58586,1.5473e+05,22898
Contra Costa,72478,3.6206e+05,21861
Tulare,51589,2.9794e+05,21844
San Luis Obispo,70704,3.4246e+05,21941
Sutter,60499,3.112e+05,21959
Napa,79561,2.6059e+05,21884
Los Angeles,81285,5.9107e+05,21843
Nevada,61757,2.1463e+05,21867
Calaveras,62812,2.6424e+05,22483
Mariposa,53296,1.5564e+05,22027
Inyo,63292,1.6320e+05,21993
Riverside,70354,7.8305e+05,21842
Lake,51478,1.728e+05,21854
Placer,78202,3.3703e+05,21908
Madera,51520,1.9030e+05,21845
Glenn,50459,1.3177e+05,22070
Tehama,48286,1.6066e+05,21927
San Diego,68532,3.2574e+05,21881
Orange,72949,3.041e+05,21850
Plumas,49955,1.6105e+05,21872
Siskiyou,47593,1.5304e+05,21852
Mendocino,50614,2.0396e+05,21896
Solano,72177,2.7942e+05,22021
Kern,67998,1.2736e+06,21901
Humboldt,52995,2.5799e+05,21888
Amador,67473,1.701e+05,22296
San Benito,57569,1.8969e+05,21937
Tuolumne,61614,2.422e+05,22057
San Mateo,86258,4.0231e+05,21851
Sacramento,76004,4.4937e+05,21879
San Bernardino,60301,3.7006e+05,21841
Santa Clara,91947,6.9767e+05,21846
Shasta,50788,2.1471e+05,21945
Imperial,58155,2.3073e+05,21876
Mono,65184,2.9874e+05,22704
Santa Cruz,77538,2.9110e+05,22314
Trinity,47378,1.5517e+05,21859
Lassen,48293,1.742e+05,22121
Yuba,64680,2.2616e+05,22265
Modoc,49032,1.4663e+05,22338
Marin,83991,2.7426e+05,21845
Fresno,57828,2.5577e+05,21852
Santa Barbara,73973,2.4724e+05,21923
Colusa,64332,3.255e+05,22082
Alameda,85529,4.7566e+05,21860
Yolo,75240,2.7853e+05,22019
Sonoma,71707,3.0304e+05,21859
San Joaquin,69867,6.9227e+05,21864
El Dorado,68360,3.3043e+05,21896
Stanislaus,58201,2.928e+05,21932
Butte,52434,2.9891e+05,21845
Alpine,59171,1.3484e+05,21994
Ventura,77760,3.0302e+05,21856
Del Norte,46683,1.4012e+05,21921
