Kings,55368,1.7796e+05,21909
Merced,57456,3.4685e+05,21841
Sierra,57448,1.4693e+05,22797
Contra Costa,70121,3.5543e+05,21855
Tulare,50973,2.8926e+05,21900
San Luis Obispo,69858,3.2613e+05,21878
Sutter,58769,2.6115e+05,21968
Monterey,75097,4.7521e+05,21873
Napa,74951,2.4146e+05,22055
Los Angeles,77701,7.76e+05,21848
Nevada,59237,1.9944e+05,21845
Calaveras,57948,2.4492e+05,22125
Mariposa,51071,1.5407e+05,22324
Inyo,62045,1.5811e+05,22211
Riverside,67526,6.7853e+05,21848
Lake,48416,1.6245e+05,22061
Placer,76411,3.2902e+05,21903
Madera,49274,1.6367e+05,21892
Glenn,50623,1.3147e+05,21842
Tehama,48374,1.5836e+05,21878
San Diego,65761,2.9202e+05,21853
Orange,69882,2.9384e+05,21923
Plumas,51073,1.6185e+05,21871
Siskiyou,50469,2.0776e+05,21855
Mendocino,50788,2.0326e+05,21873
Solano,70908,2.7318e+05,21921
Kern,67528,1.3607e+06,21855
Humboldt,54430,2.7170e+05,22050
Amador,63611,1.7853e+05,21878
San Benito,61726,1.9062e+05,23072
Tuolumne,55044,2.0604e+05,21881
San Mateo,81114,3.5004e+05,21941
Sacramento,74115,3.5033e+05,21884
San Bernardino,60840,3.4796e+05,21844
Santa Clara,88466,7.6046e+05,21857
Shasta,49133,2.0987e+05,21874
Imperial,54087,2.1513e+05,21843
Mono,64346,1.6611e+05,23679
Santa Cruz,75045,2.8148e+05,21880
Trinity,46090,1.1565e+05,22270
Lassen,47750,1.7031e+05,22282
Yuba,56559,1.9022e+05,22059
Marin,78610,2.5019e+05,21859
Fresno,54987,3.6029e+05,21855
Santa Barbara,76016,2.5965e+05,21843
Colusa,60846,3.2119e+05,23648
Alameda,78209,4.7859e+05,21888
Yolo,67860,2.639e+05,22045
Sonoma,71449,3.8168e+05,21841
San Joaquin,67426,7.2786e+05,21867
El Dorado,63771,3.0256e+05,21854
Stanislaus,55908,2.7952e+05,21841
Butte,51867,2.8979e+05,21856
Alpine,59377,1.2688e+05,24287
Ventura,73159,2.9288e+05,21880
Del Norte,43646,1.2655e+05,21852
