State,2015Income
New Hampshire,75675.00
Alaska,75112.00
Maryland,73594.00
Connecticut,72889.00
District of Columbia,70071.00
Minnesota,68730.00
New Jersey,68357.00
Massachusetts,67861.00
Washington,67243.00
Colorado,66596.00
Utah,66258.00
Hawaii,64514.00
California,63636.00
Virginia,61486.00
Wyoming,60925.00
Iowa,60855.00
Oregon,60834.00
Nebraska,60747.00
Illinois,60413.00
Pennsylvania,60389.00
Vermont,59494.00
Missouri,59196.00
New York,58005.00
Delaware,57756.00
North Dakota,57415.00
Texas,56473.00
Rhode Island,55701.00
Wisconsin,55425.00
South Dakota,55065.00
Kansas,54865.00
Michigan,54203.00
Ohio,53301.00
Arizona,52248.00
Nevada,52008.00
Indiana,51983.00
Idaho,51624.00
Montana,51395.00
North Carolina,50797.00
Georgia,50768.00
Maine,50756.00
Florida,48825.00
Tennessee,47330.00
Oklahoma,47077.00
South Carolina,46360.00
Louisiana,45922.00
New Mexico,45119.00
Alabama,44509.00
West Virginia,42824.00
Arkansas,42798.00
Kentucky,42387.00
Mississippi,40037.00
