County,State,PerCap,MedianHousehold,MedianFamily,Population,NumberofHousholds
New York County,New York,62498.00,69659.00,84627.00,"1,605,272","736,192"
Arlington,Virginia,62018.00,103208.00,139244.00,"214,861","94,454"
Falls Church City,Virginia,59088.00,120000.00,152857.00,"12,731","5,020"
Marin,California,56791.00,90839.00,117357.00,"254,643","102,912"
Alexandria City,Virginia,54608.00,85706.00,107511.00,"143,684","65,369"
Pitkin,Colorado,51814.00,72745.00,93981.00,"17,173","7,507"
Los Alamos,New Mexico,51044.00,106686.00,124979.00,"17,979","7,590"
Fairfax County,Virginia,50532.00,110292.00,128596.00,"1,101,071","389,908"
Hunterdon,New Jersey,50349.00,106143.00,125828.00,"127,047","46,816"
Borden,Texas,50042.00,71607.00,76250.00,649,225
Montgomery,Maryland,49038.00,98221.00,117408.00,"989,474","360,563"
Morris,New Jersey,48814.00,98633.00,117683.00,"495,261","179,665"
Fairfield,Connecticut,48721.00,82283.00,104250.00,"926,233","332,655"
San Francisco,California,48486.00,75604.00,90116.00,"817,501","345,344"
Howard,Maryland,48172.00,109865.00,128657.00,"293,821","106,142"
Westchester,New York,47984.00,81946.00,105341.00,"956,283","343,561"
Somerset,New Jersey,47803.00,99020.00,117393.00,"326,207","115,531"
Nantucket,Massachusetts,47331.00,85478.00,92500.00,"10,224","4,069"
Loudoun,Virginia,46565.00,122238.00,133550.00,"326,477","106,997"
North Slope,Alaska,46457.00,80761.00,82500.00,"9,484","1,990"
San Mateo,California,45732.00,88202.00,105844.00,"729,543","257,941"
Kalawao,Hawaii,45515.00,59375.00,88750.00,71,46
Washington City,District of Columbia,45290.00,65830.00,79665.00,"619,371","263,649"
Goochland,Virginia,45039.00,80976.00,92042.00,"21,565","8,058"
Norfolk,Massachusetts,44692.00,84916.00,108943.00,"677,296","257,451"
Fairfax City,Virginia,44345.00,97242.00,113538.00,"23,027","8,492"
Douglas,Colorado,43634.00,101591.00,112930.00,"293,014","103,780"
Teton,Wyoming,43444.00,68078.00,83558.00,"21,575","7,583"
Bergen,New Jersey,43347.00,83794.00,102222.00,"912,795","335,422"
Middlesex,Massachusetts,42861.00,82090.00,104032.00,"1,522,533","581,120"
Monmouth,New Jersey,42749.00,84526.00,105971.00,"629,735","233,909"
Summit,Utah,42462.00,83336.00,95879.00,"37,232","13,627"
Nassau,New York,42400.00,97690.00,112874.00,"1,343,765","441,955"
Mineral,Colorado,42255.00,47083.00,68438.00,761,393
Chester,Pennsylvania,42210.00,86050.00,105278.00,"503,075","184,788"
Ozaukee,Wisconsin,42041.00,75457.00,92262.00,"86,708","34,108"
Clear Creek,Colorado,41716.00,67259.00,89583.00,"9,048","4,024"
Santa Clara,California,41513.00,91702.00,103983.00,"1,812,208","609,377"
Montgomery,Pennsylvania,41472.00,79183.00,99587.00,"804,621","307,488"
Williamson,Tennessee,41292.00,89779.00,104796.00,"188,935","66,364"
San Miguel,Colorado,40827.00,63594.00,77708.00,"7,496","3,234"
Anne Arundel,Maryland,40415.00,87430.00,101268.00,"544,426","199,904"
Putnam,New York,40309.00,95117.00,109188.00,"99,718","34,496"
Newport,Rhode Island,40293.00,71713.00,88962.00,"82,545","34,774"
Delaware County,Ohio,40189.00,89757.00,103564.00,"178,139","64,208"
Middlesex,Connecticut,39992.00,76994.00,98501.00,"165,690","66,141"
King,Washington,39911.00,71811.00,92510.00,"1,974,567","802,606"
Fauquier,Virginia,39600.00,88409.00,103556.00,"66,015","23,130"
Hamilton,Indiana,39521.00,82468.00,99768.00,"282,977","103,234"
Eagle,Colorado,39497.00,74456.00,86167.00,"52,151","17,966"
James City County,Virginia,39133.00,76960.00,90406.00,"68,171","26,883"
Bristol,Rhode Island,38893.00,71238.00,93131.00,"49,426","19,174"
Johnson,Kansas,38827.00,74717.00,92512.00,"552,947","216,304"
Clarke,Virginia,38748.00,77597.00,95654.00,"14,191","5,580"
Williams,North Dakota,38738.00,76210.00,86285.00,"25,024","10,411"
DuPage,Illinois,38570.00,78487.00,95208.00,"922,803","336,028"
